Date,Close,RSI,MACD,Upper_band,Lower_band,EMA_20,EMA_50
9/16/2019,191.6799927,69.53295667,0.607519032,194.9895377,182.3014596,189.6002226,188.3343904
9/17/2019,192.6000061,72.58154035,0.537941279,195.4377862,182.2702125,189.8859163,188.5016695
9/18/2019,192.5200043,71.21644008,0.45324195,195.8474616,182.4155373,190.1367818,188.6592512
9/19/2019,192.8399963,66.39997721,0.387998437,196.2528593,182.4311388,190.3942308,188.823202
9/20/2019,190.8000031,60.03616487,0.186876546,196.3917326,182.5702654,190.4328758,188.9007236
9/23/2019,190.5,66.09158509,0.021748044,195.8746086,183.9303886,190.4392685,188.9634403
9/24/2019,187.9700012,48.79356349,-0.254526876,195.6196399,184.5003567,190.2041002,188.9244819
9/25/2019,190.0800018,43.74080737,-0.28928939,195.2313255,185.4536721,190.1922813,188.9697964
9/26/2019,189.3800049,42.15758684,-0.349522429,194.8106758,186.3033227,190.1149217,188.985883
9/27/2019,187.0299988,37.03241445,-0.527065481,194.8988833,186.1261152,189.8211195,188.9091817
9/30/2019,188.8099976,44.70179103,-0.504060525,194.8083143,186.3506838,189.7248222,188.9052921
10/1/2019,187.2700043,34.84140098,-0.567287202,194.539327,186.7816722,189.49103,188.8411632
10/2/2019,184.0500031,26.38891069,-0.787168969,195.2328114,185.6601878,188.9728369,188.6532746
10/3/2019,186.0700073,34.42468794,-0.757513518,195.2818958,185.0401043,188.696377,188.55197
10/4/2019,188.8099976,43.66446823,-0.525333214,195.1304808,184.9135194,188.707198,188.5620887
10/7/2019,188.2400055,40.22420184,-0.388423527,195.0112591,184.7377415,188.6627035,188.549458
10/8/2019,185.4199982,35.82265908,-0.461110071,195.1047193,184.1222812,188.3538744,188.4267341
10/9/2019,187.2299957,39.42705598,-0.364830064,194.7752019,183.9317988,188.2468383,188.3798031
10/10/2019,188.6799927,45.91362486,-0.189835131,194.2356773,184.0163232,188.2880911,188.3915753
10/11/2019,191.1100006,51.08657069,0.088297953,194.0004285,184.1085727,188.5568444,188.4981802
10/14/2019,191.0899963,56.10327742,0.259940533,193.9116763,184.1383252,188.798097,188.5998201
10/15/2019,193.5200043,56.6460622,0.511600739,194.1141861,184.0278153,189.2478024,188.7927685
10/16/2019,193.0399933,57.13169467,0.613345347,194.2197856,183.9742146,189.6089635,188.9593263
10/17/2019,193.5500031,63.68597416,0.677575016,194.3729892,183.8920117,189.9843006,189.1393528
10/18/2019,191.6900024,56.02510866,0.562131167,194.4916986,183.8623023,190.1467484,189.2393783
10/21/2019,193.3899994,62.7181795,0.566032712,194.9363305,183.7066703,190.4556294,189.4021478
10/22/2019,191.8500061,67.42626459,0.436474401,195.2013848,183.8296165,190.5884272,189.4981422
10/23/2019,192.2200012,64.83355195,0.350953883,195.4323064,183.8126948,190.7438152,189.6048818
10/24/2019,194.0899963,63.29303766,0.392445129,195.9988259,183.7171744,191.0624991,189.7807686
10/25/2019,195.6399994,67.7542811,0.49005424,196.7911084,183.785892,191.4984515,190.0105424
10/28/2019,197.5700073,80.45110884,0.640854202,197.9499432,183.5030582,192.0766949,190.306992
10/29/2019,196.0399933,72.39445317,0.59481682,198.5675072,183.7624931,192.4541519,190.5318156
10/30/2019,196.9900055,71.67445788,0.584732733,198.849069,184.7749316,192.886138,190.7850779
